Country,Date,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
Netherlands,1/23/2020,0,0,0,0,0,0,0,Europe
New Zealand,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Nicaragua,1/23/2020,0,0,0,0,0,0,0,Americas
Niger,1/23/2020,0,0,0,0,0,0,0,Africa
Nigeria,1/23/2020,0,0,0,0,0,0,0,Africa
North Macedonia,1/23/2020,0,0,0,0,0,0,0,Europe
Norway,1/23/2020,0,0,0,0,0,0,0,Europe
Oman,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Pakistan,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Panama,1/23/2020,0,0,0,0,0,0,0,Americas
Papua New Guinea,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Paraguay,1/23/2020,0,0,0,0,0,0,0,Americas
Peru,1/23/2020,0,0,0,0,0,0,0,Americas
Philippines,1/23/2020,0,0,0,0,0,0,0,Western Pacific
Poland,1/23/2020,0,0,0,0,0,0,0,Europe
Portugal,1/23/2020,0,0,0,0,0,0,0,Europe
Qatar,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Romania,1/23/2020,0,0,0,0,0,0,0,Europe
Russia,1/23/2020,0,0,0,0,0,0,0,Europe
Rwanda,1/23/2020,0,0,0,0,0,0,0,Africa
Saint Kitts and Nevis,1/23/2020,0,0,0,0,0,0,0,Americas
Saint Lucia,1/23/2020,0,0,0,0,0,0,0,Americas
Saint Vincent and the Grenadines,1/23/2020,0,0,0,0,0,0,0,Americas
San Marino,1/23/2020,0,0,0,0,0,0,0,Europe
Sao Tome and Principe,1/23/2020,0,0,0,0,0,0,0,Africa
Saudi Arabia,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Senegal,1/23/2020,0,0,0,0,0,0,0,Africa
Serbia,1/23/2020,0,0,0,0,0,0,0,Europe
Seychelles,1/23/2020,0,0,0,0,0,0,0,Africa
Sierra Leone,1/23/2020,0,0,0,0,0,0,0,Africa
Singapore,1/23/2020,1,0,0,1,1,0,0,Western Pacific
Slovakia,1/23/2020,0,0,0,0,0,0,0,Europe
Slovenia,1/23/2020,0,0,0,0,0,0,0,Europe
Somalia,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
South Africa,1/23/2020,0,0,0,0,0,0,0,Africa
South Korea,1/23/2020,1,0,0,1,0,0,0,Western Pacific
South Sudan,1/23/2020,0,0,0,0,0,0,0,Africa
Spain,1/23/2020,0,0,0,0,0,0,0,Europe
Sri Lanka,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Sudan,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Suriname,1/23/2020,0,0,0,0,0,0,0,Americas
Sweden,1/23/2020,0,0,0,0,0,0,0,Europe
Switzerland,1/23/2020,0,0,0,0,0,0,0,Europe
Syria,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Taiwan*,1/23/2020,1,0,0,1,0,0,0,Western Pacific
Tajikistan,1/23/2020,0,0,0,0,0,0,0,Europe
Tanzania,1/23/2020,0,0,0,0,0,0,0,Africa
Thailand,1/23/2020,3,0,0,3,1,0,0,South-East Asia
Timor-Leste,1/23/2020,0,0,0,0,0,0,0,South-East Asia
Togo,1/23/2020,0,0,0,0,0,0,0,Africa
Trinidad and Tobago,1/23/2020,0,0,0,0,0,0,0,Americas
Tunisia,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Turkey,1/23/2020,0,0,0,0,0,0,0,Europe
US,1/23/2020,1,0,0,1,0,0,0,Americas
Uganda,1/23/2020,0,0,0,0,0,0,0,Africa
Ukraine,1/23/2020,0,0,0,0,0,0,0,Europe
United Arab Emirates,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
United Kingdom,1/23/2020,0,0,0,0,0,0,0,Europe
Uruguay,1/23/2020,0,0,0,0,0,0,0,Americas
Uzbekistan,1/23/2020,0,0,0,0,0,0,0,Europe
Venezuela,1/23/2020,0,0,0,0,0,0,0,Americas
Vietnam,1/23/2020,2,0,0,2,2,0,0,Western Pacific
West Bank and Gaza,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Western Sahara,1/23/2020,0,0,0,0,0,0,0,Africa
Yemen,1/23/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Zambia,1/23/2020,0,0,0,0,0,0,0,Africa
Zimbabwe,1/23/2020,0,0,0,0,0,0,0,Africa
Afghanistan,1/24/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Albania,1/24/2020,0,0,0,0,0,0,0,Europe
Algeria,1/24/2020,0,0,0,0,0,0,0,Africa
Andorra,1/24/2020,0,0,0,0,0,0,0,Europe
Angola,1/24/2020,0,0,0,0,0,0,0,Africa
Antigua and Barbuda,1/24/2020,0,0,0,0,0,0,0,Americas
Argentina,1/24/2020,0,0,0,0,0,0,0,Americas
Armenia,1/24/2020,0,0,0,0,0,0,0,Europe
Australia,1/24/2020,0,0,0,0,0,0,0,Western Pacific
Austria,1/24/2020,0,0,0,0,0,0,0,Europe
Azerbaijan,1/24/2020,0,0,0,0,0,0,0,Europe
Bahamas,1/24/2020,0,0,0,0,0,0,0,Americas
Bahrain,1/24/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Bangladesh,1/24/2020,0,0,0,0,0,0,0,South-East Asia
Barbados,1/24/2020,0,0,0,0,0,0,0,Americas
Belarus,1/24/2020,0,0,0,0,0,0,0,Europe
Belgium,1/24/2020,0,0,0,0,0,0,0,Europe
Belize,1/24/2020,0,0,0,0,0,0,0,Americas
Benin,1/24/2020,0,0,0,0,0,0,0,Africa
Bhutan,1/24/2020,0,0,0,0,0,0,0,South-East Asia
Bolivia,1/24/2020,0,0,0,0,0,0,0,Americas
Bosnia and Herzegovina,1/24/2020,0,0,0,0,0,0,0,Europe
Botswana,1/24/2020,0,0,0,0,0,0,0,Africa
Brazil,1/24/2020,0,0,0,0,0,0,0,Americas
Brunei,1/24/2020,0,0,0,0,0,0,0,Western Pacific
Bulgaria,1/24/2020,0,0,0,0,0,0,0,Europe
Burkina Faso,1/24/2020,0,0,0,0,0,0,0,Africa
Burma,1/24/2020,0,0,0,0,0,0,0,South-East Asia
Burundi,1/24/2020,0,0,0,0,0,0,0,Africa
Cabo Verde,1/24/2020,0,0,0,0,0,0,0,Africa
Cambodia,1/24/2020,0,0,0,0,0,0,0,Western Pacific
Cameroon,1/24/2020,0,0,0,0,0,0,0,Africa
Canada,1/24/2020,0,0,0,0,0,0,0,Americas
Central African Republic,1/24/2020,0,0,0,0,0,0,0,Africa
Chad,1/24/2020,0,0,0,0,0,0,0,Africa
Chile,1/24/2020,0,0,0,0,0,0,0,Americas
China,1/24/2020,920,26,36,858,277,8,6,Western Pacific
Colombia,1/24/2020,0,0,0,0,0,0,0,Americas
Comoros,1/24/2020,0,0,0,0,0,0,0,Africa
Congo (Brazzaville),1/24/2020,0,0,0,0,0,0,0,Africa
Congo (Kinshasa),1/24/2020,0,0,0,0,0,0,0,Africa
Costa Rica,1/24/2020,0,0,0,0,0,0,0,Americas
Cote d'Ivoire,1/24/2020,0,0,0,0,0,0,0,Africa
Croatia,1/24/2020,0,0,0,0,0,0,0,Europe
Cuba,1/24/2020,0,0,0,0,0,0,0,Americas
Cyprus,1/24/2020,0,0,0,0,0,0,0,Europe
Czechia,1/24/2020,0,0,0,0,0,0,0,Europe
Denmark,1/24/2020,0,0,0,0,0,0,0,Europe
Djibouti,1/24/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Dominica,1/24/2020,0,0,0,0,0,0,0,Americas
Dominican Republic,1/24/2020,0,0,0,0,0,0,0,Americas
Ecuador,1/24/2020,0,0,0,0,0,0,0,Americas
Egypt,1/24/2020,0,0,0,0,0,0,0,Eastern Mediterranean
